Player,team_name_college,true_shooting_pct_college,effective_field_goal_pct_college,total_shooting_pct_college,off_reb_rate_college,def_reb_rate_college,tot_reb_rate_college,assist_rate_college,turnover_rate_college,steal_rate_college,block_rate_college,usage_rate_college,pure_point_rating_college,points_per_shot_college,off_rating_college,def_rating_college,net_rating_college,floor_impact_counter_college,PER_college,true_shooting_pct,effective_field_goal_pct,total_shooting_pct,pure_point_rating,points_per_shot,off_rating,def_rating,net_rating,floor_impact_counter,PER
Saddiq Bey,VILL,.571,.561,147.6,0.083,0.121,0.102,0.086,0.09699999999999999,0.018000000000000002,0.013999999999999999,0.14300000000000002,0.3,1.2,123.2,103.2,20.0,278.4,14.8,0.571,0.561,147.6,0.3,1.2,123.2,103.2,20,278.4,14.8
Akim Mitchell,HU,.626,.591,174.6,0.061,0.11599999999999999,0.08900000000000001,0.07,0.102,0.018000000000000002,0.002,0.133,-0.2,1.4,128.4,104.4,23.9,287.2,14.8,0.626,0.591,174.6,-0.2,1.4,128.4,104.4,23.9,287.2,14.8
Caleb McConnell,RU,.548,.492,156.5,0.036000000000000004,0.146,0.09,0.132,0.193,0.032,0.009000000000000001,0.198,-3.3,1.3,103.0,98.5,4.5,120.4,14.8,0.548,0.492,156.5,-3.3,1.3,103,98.5,4.5,120.4,14.8
Gligorije Rakocevic,OSU,.623,.599,150.8,0.107,0.11599999999999999,0.111,0.015,0.129,0.006,0.028999999999999998,0.163,-3.7,1.5,120.5,106.8,13.7,90.1,14.8,0.623,0.599,150.8,-3.7,1.5,120.5,106.8,13.7,90.1,14.8
Paulius Zalys,LC,.519,.488,151.3,0.049,0.196,0.12300000000000001,0.247,0.213,0.013999999999999999,0.005,0.276,-3.5,1.2,95.4,110.2,-14.8,178.2,14.8,0.519,0.488,151.3,-3.5,1.2,95.4,110.2,-14.8,178.2,14.8
Isaiah Wright,USD,.569,.519,155.3,0.011000000000000001,0.11900000000000001,0.066,0.244,0.195,0.022000000000000002,0.001,0.207,0.6,1.4,107.1,101.2,5.9,297.0,14.8,0.569,0.519,155.3,0.6,1.4,107.1,101.2,5.9,297,14.8
Steven Whitley,NSU,.479,.447,124.6,0.034,0.19399999999999998,0.115,0.324,0.223,0.033,0.004,0.251,-0.9,1.2,93.7,91.6,2.1,252.8,14.8,0.479,0.447,124.6,-0.9,1.2,93.7,91.6,2.1,252.8,14.8
Storm Murphy,WC,.646,.628,181.5,0.006,0.08199999999999999,0.044000000000000004,0.2,0.163,0.016,0.001,0.14400000000000002,3.9,1.4,129.9,100.3,29.6,228.0,14.8,0.646,0.628,181.5,3.9,1.4,129.9,100.3,29.6,228,14.8
Holland Woods,PSU,.514,.449,146.3,0.011000000000000001,0.08900000000000001,0.047,0.292,0.195,0.025,0.002,0.23600000000000002,0.0,1.2,104.8,108.3,-3.5,267.9,14.8,0.514,0.449,146.3,0,1.2,104.8,108.3,-3.5,267.9,14.8
Eden Ewing,TSU,.544,.540,142.9,0.084,0.23399999999999999,0.161,0.098,0.228,0.018000000000000002,0.034,0.217,-6.8,1.3,96.3,95.5,0.8,208.1,14.8,0.544,0.54,142.9,-6.8,1.3,96.3,95.5,0.8,208.1,14.8
